seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
50,6,5,5,0,0,0,0,2,0,26,24,19,0,0,0,0,0,0,0.0145,0.0145
50,7,5,5,384,392,2,1,103,59,3028,2925,2924,14,7,21,7,8,15,0.0222,0.0222
50,8,5,5,316,333,2,6,105,50,3014,2909,2907,10,10,20,12,2,14,0.021,0.0276
50,9,5,5,388,381,2,7,112,57,3226,3114,3118,11,13,24,5,0,5,0.0292,0.0358
50,10,5,5,364,382,2,6,187,43,3570,3383,3378,18,12,30,13,13,26,0.0342,0.0434
50,11,5,5,369,369,2,6,99,59,2944,2845,2850,12,16,28,12,0,12,0.0331,0.057
50,12,5,5,337,343,2,13,64,24,2244,2180,2182,5,6,11,12,12,24,0.0239,0.0477
50,13,5,5,313,313,2,7,16,12,1596,1580,1577,10,6,16,12,7,19,0.0212,0.0464
50,14,5,5,330,350,2,11,156,35,3184,3028,3026,15,11,26,11,6,17,0.0227,0.0467
50,15,5,5,395,408,2,7,139,60,3008,2869,2874,12,15,27,7,18,25,0.0289,0.0566
50,16,5,5,380,378,2,7,199,53,3248,3049,3048,6,16,22,10,0,10,0.0239,0.0691
50,17,5,5,321,333,2,12,186,28,3420,3234,3234,17,12,29,11,14,25,0.0318,0.0689
50,18,5,5,359,373,2,4,174,24,3024,2850,2854,9,16,25,14,0,14,0.0253,0.0852
50,19,5,5,243,253,2,17,39,11,2352,2313,2310,4,10,14,12,16,28,0.0147,0.076
50,20,5,5,277,284,2,13,18,28,1626,1608,1605,6,8,14,2,0,2,0.0204,0.0706
50,21,5,5,341,358,2,9,155,50,3154,2999,3002,5,10,15,10,30,40,0.0132,0.0699
50,22,5,5,344,357,2,12,154,43,3060,2906,2900,10,15,25,7,0,7,0.0174,0.0751
50,23,5,5,301,310,2,14,161,54,3166,3005,3013,12,3,15,8,9,17,0.0229,0.0607
50,24,5,5,383,394,2,2,181,59,3446,3265,3263,17,10,27,4,26,30,0.0392,0.0693
50,25,5,5,330,338,2,13,102,42,3094,2992,2993,8,9,17,14,0,14,0.0319,0.0652
50,26,5,5,321,323,2,7,65,3,2292,2227,2226,15,10,25,18,2,20,0.0281,0.0696
50,27,5,5,287,301,2,14,26,5,1680,1654,1655,5,5,10,11,13,24,0.0201,0.0576
