seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
45,7,6,9,D0,True,16,0,16,0,0,0,0,0,4,"['B638', 'B47', 'B218', 'B559']",2.0,S26,2.99,20,0,20,0.0,-6.573878,,,-6.573878,True,True,,,,,,,0.620911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,6,29,S26,False,20,0,20,20,0,0,0,0,0,"['B603', 'B215', 'B220', 'B609', 'B164', 'B254', 'B611', 'B695', 'B230', 'B72', 'B460', 'B98', 'B510', 'B562', 'B749', 'B132', 'B638', 'B47', 'B218', 'B559']",10.0,S44,7.72,0,0,0,0.0,-6.58775,,,-6.58775,False,False,,,,,,,0.629891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,6,47,S44,False,0,0,0,0,19,0,0,0,0,"['B75', 'B564', 'B100', 'B401', 'B505', 'B219', 'B761', 'B15', 'B767', 'B606', 'B248', 'B34', 'B304', 'B489', 'B204', 'B93', 'B704', 'B381', 'B143']",9.5,S34,4.94,19,0,19,0.0,-6.538208,,,-6.538208,True,False,,,,,,,0.597819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,1,S34,False,19,0,19,15,0,0,0,0,0,"['B75', 'B564', 'B100', 'B401', 'B505', 'B219', 'B761', 'B15', 'B767', 'B606', 'B248', 'B34', 'B304', 'B489', 'B204']",7.5,S3,5.25,4,0,4,0.0,-6.494611,,,-6.494611,False,False,,,,,,,0.569596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,14,S3,False,4,0,4,0,16,0,0,0,0,"['B369', 'B696', 'B102', 'B413', 'B423', 'B435', 'B91', 'B479', 'B420', 'B139', 'B181', 'B547', 'B183', 'B265', 'B376', 'B412']",8.0,S41,8.64,20,0,20,0.0,-6.478758,,,-6.478758,False,False,,,,,,,0.559333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,31,S41,False,20,0,20,18,0,0,0,0,0,"['B93', 'B704', 'B381', 'B143', 'B369', 'B696', 'B102', 'B413', 'B423', 'B435', 'B91', 'B479', 'B420', 'B139', 'B181', 'B547', 'B183', 'B265']",9.0,S38,3.56,2,0,2,0.0,-6.445069,,,-6.445069,False,False,,,,,,,0.537524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,43,S38,False,2,0,2,0,18,0,0,0,0,"['B752', 'B45', 'B90', 'B80', 'B509', 'B545', 'B349', 'B364', 'B649', 'B690', 'B744', 'B670', 'B223', 'B556', 'B471', 'B362', 'B109', 'B301']",9.0,S66,3.69,20,0,20,0.0,-6.423271,,,-6.423271,False,False,,,,,,,0.523412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,56,S66,False,20,0,20,0,0,0,0,0,0,[],0.0,S65,3.09,20,0,20,0.0,-6.415344,,,-6.415344,False,False,,,,,,,0.518281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,7,59,S65,False,20,0,20,14,0,0,0,0,0,"['B376', 'B412', 'B752', 'B45', 'B90', 'B80', 'B509', 'B545', 'B349', 'B364', 'B649', 'B690', 'B744', 'B670']",7.0,S33,6.32,6,0,6,0.0,-6.460923,,,-6.460923,True,False,,,,,,,0.547787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,8,12,S33,False,6,0,6,0,14,0,0,0,0,"['B354', 'B550', 'B422', 'B199', 'B452', 'B147', 'B594', 'B568', 'B361', 'B3', 'B407', 'B683', 'B731', 'B245']",7.0,S15,3.7,20,0,20,0.0,-6.447051,,,-6.447051,False,False,,,,,,,0.538807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,8,23,S15,False,20,0,20,16,0,0,0,0,0,"['B223', 'B556', 'B471', 'B362', 'B109', 'B301', 'B354', 'B550', 'B422', 'B199', 'B452', 'B147', 'B594', 'B568', 'B361', 'B3']",8.0,S63,5.25,4,0,4,0.0,-6.42129,,,-6.42129,False,False,,,,,,,0.52213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,8,36,S63,False,4,0,4,0,16,1,0,0,0,"['B716', 'B352', 'B78', 'B368', 'B723', 'B518', 'B160', 'B391', 'B567', 'B267', 'B77', 'B461', 'B135', 'B288', 'B323', 'B363']",11.0,S13,12.63,20,0,20,0.0,-6.328151,,,-6.328151,True,True,,,,,,,0.461835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,9,0,S13,False,20,0,20,16,0,0,0,0,0,"['B407', 'B683', 'B731', 'B245', 'B716', 'B352', 'B78', 'B368', 'B723', 'B518', 'B160', 'B391', 'B567', 'B267', 'B77', 'B461']",8.0,S37,10.95,4,0,4,0.0,-6.264738,,,-6.264738,False,False,,,,,,,0.420783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,9,19,S37,False,4,0,4,0,16,0,0,0,0,"['B257', 'B366', 'B92', 'B450', 'B62', 'B651', 'B741', 'B467', 'B480', 'B554', 'B697', 'B612', 'B549', 'B504', 'B446', 'B329']",8.0,S22,7.12,20,0,20,0.0,-6.260774,,,-6.260774,True,False,,,,,,,0.418217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,9,34,S22,False,20,0,20,15,0,0,0,0,0,"['B135', 'B288', 'B323', 'B363', 'B257', 'B366', 'B92', 'B450', 'B62', 'B651', 'B741', 'B467', 'B480', 'B554', 'B697']",7.5,S39,5.77,5,0,5,0.0,-6.268701,,,-6.268701,False,False,,,,,,,0.423348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,9,47,S39,False,5,0,5,0,15,0,0,0,0,"['B359', 'B536', 'B588', 'B427', 'B87', 'B429', 'B191', 'B322', 'B112', 'B428', 'B153', 'B32', 'B576', 'B332', 'B27']",7.5,S3,9.24,20,0,20,0.0,-6.276628,,,-6.276628,False,False,,,,,,,0.42848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,7,10,4,S3,False,20,0,20,13,0,0,0,0,0,"['B612', 'B549', 'B504', 'B446', 'B329', 'B359', 'B536', 'B588', 'B427', 'B87', 'B429', 'B191', 'B322']",6.5,S63,4.02,7,0,7,0.0,-6.248884,,,-6.248884,False,False,,,,,,,0.41052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
