seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9505,401.04,2038,946,60282,58244,58244,217,42,224,217,217,207,7175,7390,0.0157,0.0328,0.9514,0.0078,0.0196,0.9726,6,15,222,202,224,207
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9526,398.9351,1917,927,60062,58145,58147,193,42,223,193,193,180,7301,7493,0.0079,0.0329,0.9593,0.0026,0.0274,0.97,2,21,220,183,223,180
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9455,399.2305,2332,904,59410,57078,57079,240,42,219,240,240,221,7011,7252,0.0157,0.0288,0.9556,0.0026,0.0261,0.9712,2,20,212,230,219,221
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9486,397.1588,2248,812,59520,57272,57275,227,42,211,227,227,216,7218,7444,0.0105,0.0276,0.9619,0.0039,0.0209,0.9752,3,16,207,219,211,216
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9474,398.1617,2141,959,58938,56797,56797,223,42,218,223,223,216,7130,7355,0.0105,0.0316,0.9578,0.0052,0.0196,0.9752,4,15,216,210,218,216
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9534,398.5161,1842,928,59402,57560,57561,236,42,206,236,236,231,6902,7153,0.0132,0.0448,0.942,0.0039,0.0248,0.9713,3,19,200,217,206,231
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9459,398.4475,2275,953,59646,57371,57371,207,42,216,207,207,206,7120,7320,0.0106,0.0317,0.9578,0.0092,0.0343,0.9565,7,26,216,210,216,206
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9507,397.6923,2036,882,59136,57100,57101,230,42,229,230,230,214,7166,7396,0.0131,0.0327,0.9542,0.0039,0.0261,0.97,3,20,222,220,229,214
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9494,398.1821,2121,886,59402,57281,57279,228,42,209,228,228,225,7290,7515,0.0143,0.0261,0.9596,0.0078,0.0248,0.9674,6,19,205,228,209,225
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,120.0,3,5,24,0.9496,399.9524,2124,893,59852,57728,57725,233,42,229,233,233,238,7172,7404,0.0119,0.0264,0.9618,0.0091,0.0221,0.9688,7,17,227,226,229,238
