seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
48,6,23,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,-31,-24,-24,-21,-17,-19,-16
48,7,0,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,1,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,2,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,3,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,4,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,2,0,30,26,32,0,0,0,0,0,0,0
48,7,5,0,0,0,0,0,0,0,0.0107,0.0187,0,0,0,0,7,0,177,155,184,0,0,0,0,0,0,0
48,7,6,19,31,1,0,6,0,0,0.0107,0.0187,0,0,0,0,5,2,193,184,198,0,0,0,0,0,0,0
48,7,7,34,19,0,0,4,0,1,0.0107,0.0201,0,0,1,0,4,8,128,135,132,1,0,0,0,0,0,0
48,7,8,23,40,0,0,6,0,0,0.0107,0.0201,0,0,0,0,8,2,100,109,108,0,0,0,0,0,0,0
48,7,9,39,25,0,0,6,0,1,0.0107,0.0214,0,0,1,0,13,3,179,170,192,0,1,0,0,0,0,0
48,7,10,28,28,0,0,5,0,1,0.0107,0.0227,0,0,1,0,3,4,169,163,172,0,0,0,0,1,0,0
48,7,11,28,42,0,0,6,3,2,0.0134,0.0254,0,0,5,0,9,8,219,206,228,3,0,1,0,1,0,0
48,7,12,27,27,0,0,4,1,0,0.0147,0.0254,1,0,1,1,4,6,206,215,210,0,1,0,0,0,0,0
48,7,13,39,26,0,0,5,2,0,0.016,0.0254,0,0,2,0,5,7,211,206,216,0,0,0,0,1,1,0
48,7,14,26,26,0,0,6,2,0,0.0187,0.0254,1,0,2,1,50,11,414,374,464,0,0,0,2,0,0,0
48,7,15,25,38,0,0,7,1,3,0.0187,0.0281,0,0,4,0,23,21,261,288,284,2,1,0,0,0,1,0
48,7,16,19,19,0,0,6,0,0,0.0187,0.0294,1,0,0,1,9,9,161,185,170,0,0,0,0,0,0,0
48,7,17,20,17,0,0,4,0,1,0.012,0.0307,5,0,1,5,10,14,188,183,198,1,0,0,0,0,0,0
48,7,18,30,23,0,0,5,0,4,0.012,0.0348,0,0,4,0,4,10,160,160,164,1,0,1,1,0,0,1
48,7,19,20,30,1,10,7,1,0,0.0134,0.0227,0,10,1,10,1,4,95,107,96,1,0,0,0,0,0,0
48,7,20,0,0,0,0,0,0,0,0.0134,0.0227,0,0,0,0,0,6,92,102,92,0,0,0,0,0,0,0
48,7,21,0,0,0,0,0,1,0,0.0134,0.0227,0,0,1,0,0,5,78,80,78,0,0,0,1,0,0,0
48,7,22,0,0,0,0,0,0,0,0.0147,0.0227,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0
48,7,23,0,0,0,0,0,0,0,0.0147,0.0227,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,8,0,0,0,0,0,0,0,0,0.0147,0.0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
