seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,1,0,34,33,21,1,0,1,0,0,0,0.0171,0.0303
42,7,5,5,319,339,2,15,170,67,3274,3104,3108,6,12,18,10,7,17,0.012,0.0253
42,8,5,5,332,332,2,13,149,22,3104,2955,2961,14,8,22,14,13,27,0.012,0.0186
42,9,5,5,336,353,2,13,110,56,3204,3094,3094,11,12,23,10,2,12,0.0135,0.0175
42,10,5,5,359,377,2,10,110,59,3486,3376,3370,18,9,27,13,26,39,0.0185,0.0145
42,11,5,5,356,369,2,8,147,17,3064,2917,2919,16,8,24,19,0,19,0.0147,0.0147
42,12,5,5,349,349,2,10,48,42,2380,2332,2337,12,14,26,12,18,30,0.0145,0.0198
42,13,5,5,303,313,2,12,38,18,1706,1668,1662,9,3,12,12,0,12,0.0107,0.0081
42,14,5,5,377,395,2,15,170,55,3136,2966,2962,10,19,29,9,10,19,0.0122,0.0135
42,15,5,5,370,382,2,11,85,42,2974,2889,2893,14,19,33,14,27,41,0.0119,0.0225
42,16,5,5,351,358,2,12,83,54,3248,3165,3166,6,13,19,7,0,7,0.0108,0.0242
42,17,5,5,333,345,2,13,120,54,3518,3398,3401,13,12,25,9,11,20,0.0162,0.0243
42,18,5,5,309,328,2,14,106,28,3074,2968,2969,19,5,24,22,12,34,0.0122,0.0122
42,19,5,5,348,354,2,7,29,24,2422,2393,2394,6,11,17,10,26,36,0.0066,0.0171
42,20,5,5,343,363,2,7,12,4,1676,1664,1657,4,3,7,5,8,13,0.0053,0.0118
42,21,5,5,350,358,2,9,100,54,3088,2988,2988,10,14,24,7,7,14,0.0092,0.0185
42,22,5,5,353,360,2,12,105,46,3072,2967,2972,10,13,23,9,0,9,0.0107,0.0201
42,23,5,5,370,379,2,10,132,42,3342,3210,3209,8,8,16,9,9,18,0.0094,0.0174
42,24,5,5,386,389,2,11,132,73,3370,3238,3234,11,11,22,7,22,29,0.0146,0.0172
42,25,5,5,401,409,2,9,120,57,3066,2946,2952,11,11,22,10,0,10,0.0161,0.0201
42,26,5,5,365,379,2,10,42,26,2384,2342,2343,10,10,20,14,20,34,0.0106,0.0198
42,27,5,5,291,302,2,14,16,2,1700,1684,1679,7,6,13,13,0,13,0.0027,0.0094
42,28,5,5,391,393,2,6,97,32,3098,3001,3003,15,10,25,6,16,22,0.0146,0.0146
42,29,5,5,375,386,2,11,172,94,3048,2876,2875,10,11,21,13,8,21,0.0107,0.0147
42,30,5,5,393,403,2,10,107,64,3174,3067,3062,16,12,28,12,13,25,0.0159,0.0173
42,31,5,5,368,386,2,9,129,18,3318,3189,3195,9,19,28,12,4,16,0.012,0.0307
42,32,5,5,353,367,2,18,77,12,3094,3017,3014,14,9,23,21,19,40,0.0027,0.0187
42,33,5,5,291,297,2,15,31,28,2256,2225,2226,15,11,26,8,0,8,0.0123,0.0136
42,34,5,5,306,326,2,11,13,20,1656,1643,1644,13,11,24,13,33,46,0.0119,0.0132
42,35,5,5,382,396,2,9,123,26,3206,3083,3080,10,12,22,13,0,13,0.008,0.0174
42,36,5,5,340,350,2,15,155,16,3114,2959,2959,14,13,27,15,11,26,0.0067,0.0148
42,37,5,5,374,377,2,9,197,52,3332,3135,3134,12,14,26,10,18,28,0.0093,0.0213
42,38,5,5,359,372,2,13,138,18,3478,3340,3343,9,15,24,10,6,16,0.0081,0.0242
42,39,5,5,356,370,2,14,139,33,3044,2905,2908,9,15,24,10,9,19,0.0068,0.0257
42,40,5,5,321,341,2,15,35,18,2292,2257,2260,10,16,26,11,27,38,0.0053,0.0266
