seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
50,6,5,5,0,0,0,0,2,0,26,24,19,0,0,0,0,0,0,0.0145,0.0145
50,7,5,5,369,383,2,6,118,39,3028,2910,2909,9,7,16,15,9,24,0.0066,0.0158
50,8,5,5,355,370,2,11,129,56,3014,2885,2882,11,10,21,7,0,7,0.0107,0.0147
50,9,5,5,353,352,2,10,118,48,3226,3108,3107,11,13,24,11,17,28,0.0119,0.0185
50,10,5,5,362,377,2,11,139,30,3570,3431,3430,21,5,26,14,0,14,0.0201,0.0107
50,11,5,5,319,325,2,13,61,47,2944,2883,2888,16,13,29,20,21,41,0.0133,0.0106
50,12,5,5,374,378,2,6,30,24,2244,2214,2217,13,6,19,11,6,17,0.0146,0.0106
50,13,5,5,332,338,2,6,25,9,1596,1571,1568,8,5,13,13,6,19,0.008,0.0093
50,14,5,5,410,423,2,9,101,37,3184,3083,3081,11,10,21,6,13,19,0.0132,0.0106
50,15,5,5,352,364,2,8,114,50,3008,2894,2900,11,10,21,9,0,9,0.016,0.0133
50,16,5,5,345,357,2,14,111,36,3248,3137,3136,8,20,28,15,9,24,0.0067,0.0215
50,17,5,5,340,343,2,10,181,51,3420,3239,3240,14,14,28,6,18,24,0.0173,0.0266
50,18,5,5,341,355,2,12,126,23,3024,2898,2899,10,14,24,15,4,19,0.0107,0.0295
50,19,5,5,255,272,2,17,48,18,2352,2304,2301,10,7,17,16,10,26,0.0027,0.0163
50,20,5,5,335,342,2,8,19,1,1626,1607,1607,6,5,11,7,24,31,0.0013,0.0119
50,21,5,5,369,379,2,9,109,44,3154,3045,3043,7,10,17,3,10,13,0.0066,0.0132
50,22,5,5,350,361,2,11,140,49,3060,2920,2919,22,7,29,18,3,21,0.012,0.008
50,23,5,5,383,400,2,5,126,64,3166,3040,3044,10,14,24,13,20,33,0.0079,0.0184
50,24,5,5,359,374,2,12,200,28,3446,3246,3247,16,14,30,11,0,11,0.0133,0.0213
50,25,5,5,342,347,2,16,63,13,3094,3031,3030,11,9,20,10,5,15,0.0149,0.0122
50,26,5,5,332,342,2,8,46,19,2292,2246,2246,6,7,13,13,28,41,0.004,0.0105
50,27,5,5,291,297,2,8,28,14,1680,1652,1654,5,4,9,7,8,15,0.0013,0.0053
