seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
50,6,23,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,-15,-24,-22,-11,-13,-15,-13
50,7,0,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,7,1,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,2,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,3,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,4,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,2,0,24,18,26,0,0,0,0,0,0,0
50,7,5,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,11,3,185,152,196,0,0,0,0,0,0,0
50,7,6,32,33,1,0,5,0,1,0.0145,0.0158,0,0,1,0,11,1,183,185,194,0,0,0,1,0,0,0
50,7,7,13,32,0,0,4,2,0,0.0119,0.0158,4,0,2,4,11,9,115,132,126,1,0,1,0,0,0,0
50,7,8,38,34,0,0,6,0,0,0.0119,0.0158,0,0,0,0,7,6,117,114,124,0,0,0,0,0,0,0
50,7,9,18,22,0,0,4,0,0,0.0119,0.0158,0,0,0,0,9,2,127,130,136,0,0,0,0,0,0,0
50,7,10,33,17,0,0,7,0,0,0.0119,0.0158,0,0,0,0,7,1,179,165,186,0,0,0,0,0,0,0
50,7,11,10,26,0,0,3,1,2,0.0106,0.0185,2,0,3,2,0,0,174,179,174,1,0,2,0,0,0,0
50,7,12,32,23,0,0,5,1,0,0.0092,0.0185,2,0,1,2,3,0,237,229,240,0,0,0,0,1,0,0
50,7,13,34,28,0,0,5,2,1,0.0106,0.0185,1,0,3,1,3,0,195,199,198,1,1,0,0,0,1,0
50,7,14,13,28,0,0,3,2,1,0.0092,0.0211,2,0,3,2,20,10,394,352,414,0,0,0,2,0,0,1
50,7,15,40,28,0,0,6,0,1,0.0092,0.0224,1,0,1,1,9,14,257,278,266,0,0,0,1,0,0,0
50,7,16,28,26,0,0,4,1,0,0.0106,0.0224,0,0,1,0,7,10,161,182,168,0,0,1,0,0,0,0
50,7,17,24,26,0,0,5,1,0,0.0106,0.0224,1,0,1,1,5,2,157,163,162,0,0,0,1,0,0,0
50,7,18,12,24,0,0,4,2,1,0.0132,0.0237,0,0,3,0,7,3,155,145,162,0,0,1,1,1,0,0
50,7,19,21,13,1,7,5,0,1,0.0105,0.0158,2,9,1,11,4,6,96,111,100,0,0,0,0,1,0,0
50,7,20,0,0,0,0,0,0,0,0.0105,0.0158,0,0,0,0,2,1,72,85,74,0,0,0,0,0,0,0
50,7,21,0,0,0,0,0,2,1,0.0132,0.0171,0,0,3,0,1,2,81,74,82,1,0,1,0,1,0,0
50,7,22,0,0,0,0,0,0,0,0.0132,0.0171,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
50,7,23,0,0,0,0,0,0,0,0.0132,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,0,0,0,0,0,0,0,0,0.0132,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,1,0,0,0,0,0,0,0,0.0132,0.0171,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
50,8,2,0,0,0,0,0,0,0,0.0132,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,3,0,0,0,0,0,0,0,0.0132,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,4,0,0,0,0,0,0,0,0.0132,0.0171,0,0,0,0,1,0,23,18,24,0,0,0,0,0,0,0
50,8,5,0,0,0,0,0,0,1,0.0132,0.0171,0,0,1,0,20,6,206,176,226,0,1,0,0,0,0,0
50,8,6,16,31,1,0,4,1,1,0.0118,0.0197,1,0,2,1,19,6,175,179,194,0,0,1,1,0,0,0
50,8,7,35,29,0,0,5,1,1,0.0105,0.0211,2,0,2,2,11,1,133,137,144,0,1,0,0,0,1,0
50,8,8,26,31,0,0,6,4,0,0.0158,0.0211,0,0,4,0,5,0,151,154,156,2,0,2,0,0,0,0
50,8,9,17,18,0,0,4,1,0,0.0158,0.0211,2,0,1,2,1,0,161,144,162,1,0,0,0,0,0,0
50,8,10,40,26,0,0,5,0,1,0.0158,0.0211,0,0,1,0,5,0,151,158,156,0,1,0,0,0,0,0
50,8,11,12,28,0,0,4,0,0,0.0145,0.0224,1,0,0,1,3,0,139,142,142,0,0,0,0,0,0,0
50,8,12,22,22,0,0,4,0,0,0.0145,0.0224,0,0,0,0,4,0,228,213,232,0,0,0,0,0,0,0
50,8,13,30,19,0,0,5,0,2,0.0132,0.0237,1,0,2,1,11,5,315,306,326,0,1,0,1,0,0,0
50,8,14,22,22,0,0,4,2,1,0.0145,0.0263,0,0,3,0,21,0,329,325,350,1,0,0,0,1,0,1
50,8,15,22,33,0,0,5,1,0,0.0171,0.0263,0,0,1,0,2,2,176,202,178,0,1,0,0,0,0,0
50,8,16,31,20,0,0,5,0,1,0.0158,0.0276,3,0,1,3,5,3,227,218,232,1,0,0,0,0,0,0
50,8,17,20,20,0,0,5,0,0,0.0118,0.0276,1,0,0,1,1,0,179,184,180,0,0,0,0,0,0,0
50,8,18,21,32,0,0,6,1,1,0.0118,0.0289,1,0,2,1,0,0,98,112,98,0,0,0,1,0,0,1
50,8,19,23,16,1,13,7,0,0,0.0094,0.012,2,0,0,2,0,0,82,88,82,0,0,0,0,0,0,0
50,8,20,0,0,0,0,0,0,0,0.0094,0.012,0,0,0,0,0,0,80,84,80,0,0,0,0,0,0,0
50,8,21,0,0,0,0,0,0,0,0.0094,0.012,0,0,0,0,1,4,43,50,44,0,0,0,0,0,0,0
50,8,22,0,0,0,0,0,0,0,0.0094,0.012,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0
50,8,23,0,0,0,0,0,0,0,0.0094,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,0,0,0,0,0,0,0,0,0.0094,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,1,0,0,0,0,0,0,0,0.0094,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,2,0,0,0,0,0,0,0,0.0094,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,3,0,0,0,0,0,0,0,0.0094,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,4,0,0,0,0,0,1,0,0.0107,0.012,0,0,1,0,0,0,32,25,32,0,0,0,0,0,1,0
50,9,5,0,0,0,0,0,2,0,0.0107,0.012,0,0,2,0,5,7,199,167,204,0,1,0,0,0,1,0
50,9,6,17,14,1,0,3,1,4,0.0133,0.0172,1,7,5,8,24,13,200,199,224,2,0,2,0,0,0,1
50,9,7,30,27,0,0,5,0,0,0.0106,0.0172,2,0,0,2,5,7,123,139,128,0,0,0,0,0,0,0
50,9,8,31,39,0,0,6,1,1,0.0093,0.0172,2,0,2,2,3,2,163,157,166,0,1,1,0,0,0,0
50,9,9,16,28,0,0,5,0,1,0.0093,0.0186,0,0,1,0,4,4,162,165,166,0,0,0,1,0,0,0
50,9,10,28,28,0,0,4,0,1,0.0093,0.0212,0,0,1,0,6,3,198,194,204,0,0,0,1,0,0,0
50,9,11,26,26,0,0,5,1,2,0.0106,0.0239,0,0,3,0,2,0,172,170,174,0,0,1,0,1,1,0
50,9,12,34,25,0,0,5,1,0,0.0119,0.0239,0,0,1,0,5,1,227,222,232,0,0,0,1,0,0,0
50,9,13,24,22,0,0,4,2,0,0.0119,0.0239,1,0,2,1,23,3,299,288,322,0,0,0,0,1,0,1
50,9,14,24,35,0,0,5,2,1,0.0146,0.0239,0,0,3,0,8,13,318,312,326,0,0,1,0,1,0,1
50,9,15,26,26,0,0,4,0,3,0.0146,0.0279,1,0,3,1,7,4,239,248,246,0,0,0,3,0,0,0
