seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
45,6,5,5,0,0,0,0,4,1,50,46,38,1,0,1,0,0,0,0.0106,0.0199
45,7,5,5,355,366,2,11,124,31,3048,2924,2927,7,10,17,8,12,20,0.0106,0.0172
45,8,5,5,348,365,2,12,170,110,3162,2992,2995,15,7,22,14,0,14,0.0121,0.0108
45,9,5,5,385,395,2,8,107,53,3268,3161,3160,12,15,27,9,23,32,0.0158,0.0198
45,10,5,5,342,355,2,14,92,38,3528,3436,3438,15,16,31,15,0,15,0.0161,0.0228
45,11,5,5,335,335,2,12,114,73,3070,2956,2954,9,12,21,16,8,24,0.0067,0.0229
45,12,5,5,349,358,2,9,43,26,2322,2279,2281,15,5,20,13,21,34,0.0093,0.0173
45,13,5,5,346,366,2,13,16,12,1664,1648,1646,5,11,16,7,5,12,0.0067,0.0148
45,14,5,5,358,369,2,9,149,30,2874,2725,2724,10,7,17,8,22,30,0.0092,0.0119
45,15,5,5,349,365,2,8,108,74,3204,3096,3101,11,12,23,12,0,12,0.008,0.0173
45,16,5,5,349,350,2,12,135,66,3366,3231,3221,14,21,35,14,17,31,0.0079,0.0291
45,17,5,5,367,383,2,11,179,52,3344,3165,3172,8,9,17,2,0,2,0.0161,0.0269
45,18,5,5,336,343,2,15,149,43,2984,2835,2837,5,10,15,10,12,22,0.0094,0.0202
45,19,5,5,311,326,2,13,25,15,2252,2227,2227,4,12,16,4,26,30,0.0093,0.0172
45,20,5,5,313,329,2,12,7,23,1736,1729,1727,5,7,12,9,13,22,0.004,0.0106
45,21,5,5,347,360,2,12,154,50,3096,2942,2938,13,18,31,8,12,20,0.0106,0.0185
45,22,5,5,344,348,2,12,129,35,3020,2891,2899,12,16,28,9,0,9,0.0148,0.0242
45,23,5,5,362,382,2,11,143,28,3228,3085,3075,8,12,20,9,24,33,0.0132,0.0251
45,24,5,5,305,312,2,15,146,47,3396,3250,3255,10,11,21,12,11,23,0.0106,0.0199
45,25,5,5,382,392,2,14,130,75,3000,2870,2870,11,9,20,9,14,23,0.0133,0.0133
45,26,5,5,331,346,2,9,33,17,2216,2183,2188,10,9,19,17,15,32,0.004,0.0132
45,27,5,5,332,339,2,7,14,27,1692,1678,1677,4,6,10,4,0,4,0.004,0.012
