seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
48,7,6,3,D0,True,14,0,14,0,0,0,0,0,0,[],0.0,S33,0.94,14,0,14,0.0,,-0.932878,-14.171181,-15.104059,True,True,5,S27,True,2,0.5871,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,19,S33,False,14,0,14,0,6,0,0,0,0,"['B355', 'B121', 'B257', 'B340', 'B203', 'B357']",3.0,S19,6.0,20,0,20,0.0,,-0.605038,-14.203437,-14.808475,False,False,12,S27,True,8,1.5741,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,28,S19,False,20,0,20,10,0,0,3,0,0,"['B546', 'B466', 'B477', 'B30', 'B363', 'B753', 'B741', 'B319', 'B155', 'B725', 'B85', 'B436', 'B490']",6.5,S48,0.52,10,3,13,0.0,,-0.605618,-14.196315,-14.801933,True,True,30,S27,True,24,3.4696,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,35,S48,False,10,3,13,10,0,0,1,0,0,"['B112', 'B559', 'B457', 'B513', 'B663', 'B355', 'B121', 'B257', 'B340', 'B203', 'B357']",5.5,S46,3.57,0,4,4,0.0,,-0.456338,-13.772049,-14.228386,True,True,24,S44,True,20,2.466,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,44,S46,False,0,4,4,0,15,0,0,0,0,"['B148', 'B608', 'B454', 'B237', 'B657', 'B46', 'B502', 'B49', 'B202', 'B754', 'B602', 'B720', 'B390', 'B172', 'B333']",7.5,S51,3.14,15,4,19,0.0,,-0.506652,-13.745928,-14.25258,False,False,18,S43,True,7,1.8323,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,55,S51,False,15,4,19,15,0,0,0,0,0,"['B148', 'B608', 'B454', 'B237', 'B657', 'B46', 'B502', 'B49', 'B202', 'B754', 'B602', 'B720', 'B390', 'B172', 'B333']",7.5,S39,7.16,0,4,4,0.0,,-0.377146,-13.806639,-14.183785,False,False,12,S45,True,7,1.3689,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,10,S39,False,0,4,4,0,16,0,0,0,0,"['B227', 'B83', 'B542', 'B95', 'B494', 'B128', 'B680', 'B366', 'B276', 'B350', 'B598', 'B482', 'B600', 'B344', 'B26', 'B763']",8.0,S24,10.34,16,4,20,0.0,,-0.327084,-13.954775,-14.281859,False,False,12,S26,True,9,1.2452,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,28,S24,False,16,4,20,16,0,0,0,0,0,"['B227', 'B83', 'B542', 'B95', 'B494', 'B128', 'B680', 'B366', 'B276', 'B350', 'B598', 'B482', 'B600', 'B344', 'B26', 'B763']",8.0,S54,8.5,0,4,4,0.0,,-0.317777,-13.706744,-14.024521,False,False,18,S27,True,7,1.7393,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,45,S54,False,0,4,4,0,14,0,1,0,0,"['B656', 'B175', 'B141', 'B204', 'B638', 'B607', 'B132', 'B139', 'B619', 'B547', 'B226', 'B86', 'B8', 'B336', 'B430']",7.5,S26,5.73,14,5,19,0.0,,-0.208548,-13.572729,-13.781277,True,True,30,S38,True,24,3.1473,pickup+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,58,S26,False,14,5,19,14,0,0,0,0,0,"['B656', 'B175', 'B141', 'B204', 'B638', 'B607', 'B132', 'B139', 'B619', 'B547', 'B226', 'B86', 'B8', 'B336']",7.0,S33,6.45,0,5,5,0.0,,-0.248471,-13.53926,-13.787731,False,False,12,S27,True,7,1.0208,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
