seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
47,6,5,5,0,0,0,0,0,1,34,34,27,0,0,0,0,0,0,0.0134,0.032
47,7,5,5,307,322,2,15,111,57,3062,2951,2949,13,14,27,11,15,26,0.016,0.0307
47,8,5,5,324,344,2,14,155,85,3018,2863,2867,13,13,26,16,2,18,0.0122,0.0299
47,9,5,5,319,330,2,14,81,44,3170,3089,3082,9,10,19,7,29,36,0.0146,0.0239
47,10,5,5,338,358,2,12,171,61,3432,3261,3268,9,8,17,4,14,18,0.0212,0.0186
47,11,5,5,342,356,2,12,167,37,3062,2895,2890,13,13,26,15,0,15,0.0189,0.0202
47,12,5,5,333,338,2,10,52,28,2188,2136,2144,8,7,15,12,24,36,0.0132,0.0159
47,13,5,5,328,338,2,8,14,15,1730,1716,1713,2,5,7,9,0,9,0.004,0.012
47,14,5,5,387,396,2,7,140,47,3212,3072,3072,8,12,20,4,18,22,0.0092,0.0184
47,15,5,5,348,366,2,13,144,59,2970,2826,2825,13,10,23,9,0,9,0.0134,0.0147
47,16,5,5,338,345,2,10,175,60,3240,3065,3067,10,10,20,12,20,32,0.0106,0.0146
47,17,5,5,363,366,2,9,92,34,3364,3272,3273,18,9,27,11,10,21,0.0198,0.0145
47,18,5,5,334,345,2,11,80,33,3024,2944,2945,13,17,30,16,0,16,0.0161,0.0214
47,19,5,5,301,314,2,15,45,31,2198,2153,2154,10,7,17,17,20,37,0.0053,0.0107
47,20,5,5,333,348,2,6,12,12,1678,1666,1656,4,5,9,4,0,4,0.0054,0.0094
47,21,5,5,361,364,2,7,122,55,3050,2928,2936,11,15,26,7,21,28,0.0105,0.0198
47,22,5,5,346,357,2,12,93,75,3112,3019,3012,7,9,16,11,0,11,0.0054,0.0161
47,23,5,5,377,382,2,10,184,80,3292,3108,3118,17,12,29,9,7,16,0.0161,0.0188
47,24,5,5,349,360,2,8,152,63,3418,3266,3261,8,10,18,11,21,32,0.0119,0.0211
47,25,5,5,295,315,2,15,121,64,3076,2955,2958,8,14,22,11,1,12,0.0081,0.0202
47,26,5,5,350,359,2,15,69,25,2476,2407,2407,10,12,22,11,23,34,0.0067,0.016
47,27,5,5,318,324,2,11,9,10,1596,1587,1590,6,7,13,6,11,17,0.0067,0.0107
