seed,exp_name,alpha,duration_hours,total_runtime_s,lookahead_minutes,num_scenarios,n_routing_candidates,n_time_steps,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9497,401.0249,2083,951,60282,58199,58198,234,42,213,234,234,221,6889,7126,0.0157,0.0328,0.9514,0.0039,0.0235,0.9726,3,18,205,222,213,221
43,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9508,397.7474,2189,767,60062,57873,57871,209,42,202,209,209,209,7222,7435,0.0079,0.0329,0.9593,0.0091,0.0222,0.9687,7,17,204,197,202,209
44,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9433,398.5511,2358,1012,59410,57052,57054,247,42,240,247,247,239,6990,7234,0.0157,0.0288,0.9556,0.0065,0.0314,0.9621,5,24,235,242,240,239
45,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9506,396.98,2150,790,59520,57370,57370,222,42,221,222,222,229,7117,7343,0.0105,0.0276,0.9619,0.0117,0.0156,0.9726,9,12,222,214,221,229
46,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9496,397.5577,2156,814,58938,56782,56780,219,42,218,219,219,211,7211,7432,0.0105,0.0316,0.9578,0.0039,0.0287,0.9674,3,22,213,213,218,211
47,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9503,398.641,2009,944,59402,57393,57393,237,42,212,237,237,228,7037,7276,0.0132,0.0448,0.942,0.0013,0.0248,0.9739,1,19,205,222,212,228
48,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9456,398.5612,2301,945,59646,57345,57345,225,41,219,225,225,215,7040,7249,0.0106,0.0317,0.9578,0.0079,0.033,0.9591,6,25,218,223,219,215
49,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9526,397.3903,2054,747,59136,57082,57083,216,42,214,216,216,204,7285,7499,0.0131,0.0327,0.9542,0.0026,0.0248,0.9726,2,19,206,206,214,204
50,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.952,398.588,2053,797,59402,57349,57348,212,42,230,212,212,202,7268,7476,0.0143,0.0261,0.9596,0.0052,0.0209,0.9739,4,16,227,212,230,202
51,EX15_FleetBrokenGlobal_seed1000_g0p97_wsm1p0_wcm1p0_wf0p0_bias_term_trans100_fsdiag25_eps0_initbm2p5,0.0,504,40320,90.0,3,5,18,0.9499,399.6196,2109,891,59852,57743,57742,242,41,214,242,242,244,6980,7216,0.0119,0.0264,0.9618,0.0078,0.0234,0.9688,6,18,212,233,214,244
