seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
50,6,23,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,-15,-24,-22,-11,-13,-15,-13
50,7,0,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,7,1,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,2,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,3,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,4,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,2,0,24,18,26,0,0,0,0,0,0,0
50,7,5,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,11,3,185,152,196,0,0,0,0,0,0,0
50,7,6,34,34,1,0,5,0,1,0.0145,0.0158,0,0,1,0,11,1,183,186,194,0,0,0,1,0,0,0
50,7,7,30,36,0,0,4,2,0,0.0158,0.0158,1,0,2,1,8,6,118,135,126,1,0,1,0,0,0,0
50,7,8,30,33,0,0,6,0,0,0.0158,0.0158,0,0,0,0,8,5,116,111,124,0,0,0,0,0,0,0
50,7,9,32,30,0,0,7,0,0,0.0158,0.0158,0,0,0,0,8,1,128,131,136,0,0,0,0,0,0,0
50,7,10,27,29,0,0,6,0,0,0.0158,0.0158,0,0,0,0,7,1,179,162,186,0,0,0,0,0,0,0
50,7,11,39,32,0,0,6,2,1,0.0172,0.0172,1,0,3,1,3,1,171,184,174,1,0,1,1,0,0,0
50,7,12,10,28,0,0,5,0,0,0.0119,0.0172,4,0,0,4,2,0,238,221,240,0,0,0,0,0,0,0
50,7,13,34,32,0,0,6,0,1,0.0106,0.0172,1,0,1,1,7,0,191,193,198,0,0,0,0,0,0,1
50,7,14,26,28,0,0,4,2,0,0.0119,0.0185,1,0,2,1,29,0,385,355,414,0,0,0,1,0,0,1
50,7,15,39,24,0,0,5,0,1,0.0119,0.0198,0,0,1,0,7,4,259,286,266,1,0,0,0,0,0,0
50,7,16,25,28,0,0,4,1,0,0.0132,0.0198,0,0,1,0,1,1,167,172,168,0,0,0,0,0,0,1
50,7,17,29,28,0,0,6,2,0,0.0132,0.0198,2,0,2,2,9,0,153,160,162,1,1,0,0,0,0,0
50,7,18,13,25,0,0,4,2,1,0.0132,0.0211,1,0,3,1,5,3,157,150,162,1,0,0,0,0,1,1
50,7,19,22,11,1,8,6,0,2,0.0106,0.0132,3,8,2,11,2,10,98,116,100,2,0,0,0,0,0,0
50,7,20,0,0,0,0,0,0,0,0.0106,0.0132,0,0,0,0,1,1,73,83,74,0,0,0,0,0,0,0
50,7,21,0,0,0,0,0,3,1,0.0132,0.0145,0,0,4,0,5,2,77,68,82,0,0,1,0,2,0,1
50,7,22,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0
50,7,23,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,0,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,8,1,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0
50,8,2,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,3,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,4,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,5,1,19,13,24,0,0,0,0,0,0,0
50,8,5,0,0,0,0,0,0,1,0.0145,0.0158,0,0,1,0,33,15,193,165,226,1,0,0,0,0,0,0
50,8,6,16,36,1,0,4,1,2,0.0158,0.0185,0,0,3,0,20,11,174,178,194,0,1,1,1,0,0,0
50,8,7,45,27,0,0,6,0,1,0.0158,0.0185,0,0,1,0,21,2,123,123,144,0,0,0,0,0,1,0
50,8,8,25,41,0,0,5,0,0,0.0132,0.0198,2,0,0,2,3,1,153,152,156,0,0,0,0,0,0,0
50,8,9,23,25,0,0,5,3,1,0.0158,0.0211,0,0,4,0,2,3,160,150,162,0,0,1,2,0,1,0
50,8,10,22,22,0,0,5,0,1,0.0158,0.0211,1,0,1,1,9,1,147,163,156,1,0,0,0,0,0,0
50,8,11,16,16,0,0,5,0,0,0.0119,0.0224,3,0,0,3,6,0,136,132,142,0,0,0,0,0,0,0
50,8,12,29,29,0,0,6,0,1,0.0079,0.0224,3,0,1,3,4,1,228,209,232,0,0,1,0,0,0,0
50,8,13,36,25,0,0,5,1,1,0.0092,0.0251,0,0,2,0,16,0,310,300,326,1,0,1,0,0,0,0
50,8,14,22,20,0,0,4,1,1,0.0092,0.0264,1,0,2,1,13,5,337,338,350,1,0,0,1,0,0,0
50,8,15,20,22,0,0,6,0,1,0.0079,0.0277,1,0,1,1,3,6,175,201,178,1,0,0,0,0,0,0
50,8,16,31,31,0,0,6,0,0,0.0066,0.0277,1,0,0,1,6,1,226,210,232,0,0,0,0,0,0,0
50,8,17,21,32,0,0,6,0,0,0.0066,0.0277,1,0,0,1,3,4,177,193,180,0,0,0,0,0,0,0
50,8,18,15,15,0,0,5,2,0,0.0066,0.0277,1,0,2,1,0,0,98,114,98,0,1,1,0,0,0,0
50,8,19,14,14,1,14,7,0,0,0.0067,0.0094,0,1,0,1,1,0,81,74,82,0,0,0,0,0,0,0
50,8,20,0,0,0,0,0,0,1,0.0067,0.0107,0,0,1,0,4,0,76,83,80,1,0,0,0,0,0,0
50,8,21,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,2,0,42,51,44,0,0,0,0,0,0,0
50,8,22,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
50,8,23,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,0,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,1,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,2,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,3,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,4,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,0,0,32,23,32,0,0,0,0,0,0,0
50,9,5,0,0,0,0,0,0,0,0.0067,0.0107,0,0,0,0,6,0,198,171,204,0,0,0,0,0,0,0
50,9,6,20,22,1,0,4,2,0,0.0093,0.0106,0,8,2,8,28,12,196,194,224,0,1,0,0,1,0,0
50,9,7,38,25,0,0,4,0,1,0.0093,0.012,0,0,1,0,6,5,122,135,128,1,0,0,0,0,0,0
50,9,8,22,30,0,0,5,0,3,0.0093,0.0146,0,0,3,0,16,0,150,146,166,1,2,0,0,0,0,0
50,9,9,34,27,0,0,5,1,0,0.008,0.0159,2,0,1,2,4,2,162,162,166,0,0,1,0,0,0,0
50,9,10,21,40,0,0,5,2,0,0.0093,0.0159,1,0,2,1,2,1,202,199,204,0,2,0,0,0,0,0
50,9,11,37,22,0,0,5,1,1,0.0093,0.0173,1,0,2,1,2,0,172,168,174,1,0,1,0,0,0,0
50,9,12,24,30,0,0,6,1,2,0.0093,0.0199,1,0,3,1,2,2,230,231,232,0,1,1,1,0,0,0
50,9,13,27,21,0,0,4,1,0,0.0106,0.0199,0,0,1,0,16,3,306,293,322,0,1,0,0,0,0,0
50,9,14,23,38,0,0,5,0,2,0.0106,0.0226,0,0,2,0,17,2,309,302,326,0,1,0,0,0,1,0
50,9,15,26,26,0,0,4,0,2,0.0093,0.0252,1,0,2,1,9,3,237,243,246,1,1,0,0,0,0,0
