seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
45,6,5,5,0,0,0,0,4,1,50,46,38,1,0,1,0,0,0,0.0106,0.0199
45,7,5,5,386,404,2,9,135,16,3048,2913,2918,7,15,22,9,6,15,0.008,0.0279
45,8,5,5,288,298,2,15,154,96,3162,3008,3013,5,18,23,5,15,20,0.008,0.0319
45,9,5,5,353,361,2,15,103,35,3268,3165,3160,12,14,26,11,15,26,0.0093,0.0306
45,10,5,5,325,335,2,14,148,40,3528,3380,3382,14,9,23,16,0,16,0.0068,0.0244
45,11,5,5,358,370,2,12,106,69,3070,2964,2966,5,10,15,7,15,22,0.004,0.0216
45,12,5,5,329,343,2,14,41,42,2322,2281,2280,6,8,14,6,25,31,0.0027,0.0133
45,13,5,5,356,376,2,9,14,15,1664,1650,1646,9,12,21,5,15,20,0.0079,0.0158
45,14,5,5,345,360,2,10,143,24,2874,2731,2730,9,6,15,12,0,12,0.004,0.012
45,15,5,5,372,373,2,12,136,82,3204,3068,3072,10,9,19,7,19,26,0.0079,0.0079
45,16,5,5,389,407,2,8,188,48,3366,3178,3171,14,21,35,9,12,21,0.0145,0.025
45,17,5,5,309,321,2,15,134,28,3344,3210,3218,9,7,16,10,0,10,0.0134,0.0148
45,18,5,5,377,385,1,0,172,33,2984,2812,2814,8,8,16,14,8,22,0.0053,0.0253
45,19,5,5,343,350,2,21,36,17,2252,2216,2214,9,13,22,8,15,23,0.0054,0.0147
45,20,5,5,323,340,2,9,32,20,1736,1704,1702,5,4,9,3,21,24,0.0079,0.0079
45,21,5,5,394,393,2,7,154,59,3096,2942,2943,14,18,32,9,7,16,0.0145,0.0224
45,22,5,5,358,378,2,12,149,43,3020,2871,2873,9,9,18,14,2,16,0.008,0.0187
45,23,5,5,340,349,2,13,146,60,3228,3082,3077,13,8,21,9,19,28,0.0133,0.0119
45,24,5,5,353,356,2,11,150,48,3396,3246,3249,11,12,23,11,11,22,0.0133,0.0133
45,25,5,5,383,403,2,9,176,65,3000,2824,2821,11,8,19,12,2,14,0.012,0.012
45,26,5,5,365,371,2,7,32,30,2216,2184,2191,15,6,21,12,11,23,0.016,0.0107
45,27,5,5,309,315,2,10,26,15,1692,1666,1666,5,4,9,13,9,22,0.0053,0.0027
