seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,1,0,34,33,21,1,0,1,0,0,0,0.0171,0.0303
42,7,5,5,362,382,2,15,186,99,3274,3088,3093,5,7,12,9,7,16,0.012,0.0199
42,8,5,5,394,401,2,11,156,29,3104,2948,2952,11,9,20,5,15,20,0.0198,0.0159
42,9,5,5,346,353,2,7,123,27,3204,3081,3083,9,12,21,12,0,12,0.016,0.0227
42,10,5,5,361,380,2,10,119,37,3486,3367,3359,17,10,27,7,18,25,0.0277,0.0225
42,11,5,5,290,297,2,15,105,43,3064,2959,2960,11,13,24,20,0,20,0.0162,0.0202
42,12,5,5,305,315,2,15,19,25,2380,2361,2366,13,11,24,15,25,40,0.0133,0.0146
42,13,5,5,319,324,2,10,27,27,1706,1679,1675,10,7,17,12,10,22,0.0106,0.0106
42,14,5,5,415,435,2,6,206,43,3136,2930,2927,13,8,21,10,15,25,0.0145,0.0131
42,15,5,5,361,369,2,13,111,51,2974,2863,2864,11,12,23,13,0,13,0.012,0.012
42,16,5,5,320,323,2,10,148,57,3248,3100,3103,12,9,21,11,16,27,0.0133,0.0106
42,17,5,5,373,386,2,9,80,42,3518,3438,3442,16,9,25,11,3,14,0.0201,0.0107
42,18,5,5,371,381,2,10,69,26,3074,3005,3003,10,12,22,15,19,34,0.0132,0.0132
42,19,5,5,348,367,2,14,43,21,2422,2379,2380,7,10,17,11,0,11,0.0081,0.0081
42,20,5,5,337,335,3,9,7,14,1676,1669,1666,1,5,6,3,18,21,0.0053,0.0027
42,21,5,5,415,419,2,4,164,45,3088,2924,2920,10,18,28,5,4,9,0.012,0.0199
42,22,5,5,293,313,2,15,129,46,3072,2943,2953,10,12,22,12,11,23,0.0094,0.0174
42,23,5,5,368,377,2,14,143,40,3342,3199,3197,8,14,22,8,18,26,0.008,0.0173
42,24,5,5,357,366,2,9,112,66,3370,3258,3253,8,12,20,12,9,21,0.004,0.0213
42,25,5,5,388,408,2,12,103,48,3066,2963,2969,11,9,20,9,6,15,0.0067,0.0174
42,26,5,5,313,327,2,12,27,35,2384,2357,2357,6,9,15,7,21,28,0.0053,0.0132
42,27,5,5,327,340,2,13,26,16,1660,1634,1633,6,9,15,6,0,6,0.0054,0.0081
