seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
43,7,6,9,D0,True,20,0,20,0,0,0,0,0,0,[],0.0,S51,3.91,20,0,20,0.0,,-2.520003,-13.773165,-16.293169,True,True,3,S51,False,2,0.2765,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,6,28,S51,False,20,0,20,20,0,0,1,0,0,"['B78', 'B213', 'B252', 'B336', 'B429', 'B452', 'B84', 'B68', 'B507', 'B125', 'B8', 'B100', 'B641', 'B471', 'B330', 'B378', 'B525', 'B3', 'B645', 'B754', 'B241']",10.5,S39,7.16,0,1,1,0.0,,-2.133657,-13.738411,-15.872068,True,True,20,S39,True,16,1.8101,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,6,46,S39,False,0,1,1,0,19,0,0,0,0,"['B195', 'B706', 'B625', 'B606', 'B388', 'B532', 'B202', 'B114', 'B59', 'B386', 'B553', 'B566', 'B227', 'B298', 'B12', 'B222', 'B604', 'B703', 'B399']",9.5,S65,5.08,19,1,20,0.0,,-1.676589,-13.863782,-15.540371,False,False,8,S65,False,4,0.793,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,1,S65,False,19,1,20,14,0,0,0,0,0,"['B195', 'B706', 'B625', 'B606', 'B388', 'B532', 'B202', 'B114', 'B59', 'B386', 'B553', 'B566', 'B227', 'B298']",7.0,S52,6.18,5,1,6,0.0,,-1.476013,-13.803935,-15.279948,False,False,12,S24,True,10,1.1957,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,14,S52,False,5,1,6,0,12,0,2,0,0,"['B419', 'B245', 'B600', 'B752', 'B405', 'B380', 'B88', 'B639', 'B33', 'B722', 'B423', 'B119', 'B488', 'B427']",7.0,S61,2.0,17,3,20,0.0,,-1.232335,-13.883604,-15.115939,True,True,32,S61,False,28,3.0611,pickup+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,23,S61,False,17,3,20,10,0,0,0,0,0,"['B12', 'B222', 'B604', 'B703', 'B399', 'B419', 'B245', 'B600', 'B752', 'B405']",5.0,S54,4.83,7,3,10,0.0,,-0.957023,-13.859994,-14.817017,True,False,28,S62,True,6,1.9711,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,33,S54,False,7,3,10,0,10,0,0,0,0,"['B725', 'B170', 'B740', 'B267', 'B695', 'B129', 'B26', 'B587', 'B621', 'B113']",5.0,S62,2.78,17,3,20,0.0,,-0.887007,-13.203692,-14.090699,False,False,8,S62,False,4,0.6576,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,40,S62,False,17,3,20,13,0,0,0,0,0,"['B380', 'B88', 'B639', 'B33', 'B722', 'B423', 'B119', 'B725', 'B170', 'B740', 'B267', 'B695', 'B129']",6.5,S29,3.79,4,3,7,0.0,,-0.928832,-13.275902,-14.204734,False,False,12,S24,True,10,1.0235,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,51,S29,False,4,3,7,0,0,0,0,0,0,[],0.0,S35,1.95,4,3,7,0.0,,-0.546307,-13.249093,-13.7954,False,False,8,S24,True,0,0.6889,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,53,S35,False,4,3,7,0,0,0,1,0,0,['B109'],0.5,S29,1.95,4,4,8,0.0,,-0.692927,-13.185023,-13.87795,True,True,20,S24,True,4,1.5725,do_nothing+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,55,S29,False,4,4,8,0,12,0,0,0,0,"['B305', 'B149', 'B708', 'B92', 'B517', 'B349', 'B764', 'B38', 'B493', 'B632', 'B383', 'B345']",6.0,S40,3.08,16,4,20,0.0,,-0.467962,-13.201574,-13.669536,False,False,8,S24,True,4,0.6426,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,8,4,S40,False,16,4,20,0,0,0,0,0,0,[],0.0,S48,6.57,16,4,20,0.0,,-0.61297,-13.115545,-13.728515,False,False,12,S24,True,2,0.9365,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,8,11,S48,False,16,4,20,11,0,0,0,0,0,"['B26', 'B587', 'B621', 'B113', 'B305', 'B149', 'B708', 'B92', 'B517', 'B349', 'B764']",5.5,S38,6.3,5,4,9,0.0,,-0.428738,-13.222849,-13.651587,False,False,12,S24,True,4,0.9369,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
