seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
51,6,5,5,0,0,0,0,0,4,34,34,32,0,0,0,0,0,0,0.012,0.016
51,7,5,5,365,377,2,13,125,56,3168,3043,3038,9,10,19,10,17,27,0.0093,0.0119
51,8,5,5,356,354,2,10,179,29,3124,2945,2946,9,8,17,7,0,7,0.0121,0.0094
51,9,5,5,398,405,2,7,149,59,3508,3359,3362,17,14,31,13,17,30,0.0172,0.0185
51,10,5,5,336,356,2,13,99,27,3390,3291,3293,13,14,27,14,6,20,0.016,0.0201
51,11,5,5,387,392,2,12,125,17,3028,2903,2904,11,8,19,12,19,31,0.0132,0.0146
51,12,5,5,357,363,2,6,31,16,2436,2405,2405,5,10,15,10,6,16,0.0066,0.0199
51,13,5,5,329,347,2,14,8,14,1704,1696,1693,2,7,9,3,7,10,0.0053,0.0107
51,14,5,5,398,404,2,11,74,30,3010,2936,2938,7,15,22,5,17,22,0.008,0.0159
51,15,5,5,360,380,2,13,121,76,2990,2869,2867,15,7,22,15,3,18,0.0081,0.0081
51,16,5,5,413,412,2,5,166,69,3330,3164,3163,20,12,32,13,16,29,0.0172,0.0172
51,17,5,5,330,345,2,9,148,38,3408,3260,3261,15,17,32,14,8,22,0.0186,0.0279
51,18,5,5,308,319,2,13,70,41,3004,2934,2938,7,10,17,15,14,29,0.0079,0.0238
51,19,5,5,267,283,2,19,68,17,2292,2224,2222,10,15,25,12,0,12,0.0054,0.019
51,20,5,5,315,319,2,11,13,8,1658,1645,1642,9,9,18,9,24,33,0.0053,0.016
51,21,5,5,370,390,2,9,84,53,3014,2930,2929,12,9,21,8,8,16,0.0107,0.016
51,22,5,5,344,354,2,11,174,47,3078,2904,2904,18,13,31,16,20,36,0.0132,0.0185
51,23,5,5,393,405,2,8,140,86,3214,3074,3067,11,15,26,9,0,9,0.016,0.028
51,24,5,5,326,338,2,15,126,99,3482,3356,3361,13,12,25,13,11,24,0.0161,0.0242
51,25,5,5,310,318,2,15,93,47,2998,2905,2911,10,13,23,13,8,21,0.0122,0.0217
51,26,5,5,339,352,2,13,59,25,2378,2319,2321,9,12,21,11,28,39,0.008,0.0199
51,27,5,5,299,312,2,13,1,19,1604,1603,1603,6,4,10,6,13,19,0.008,0.008
