seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
46,6,23,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,-34,-21,-15,-24,-14,-19,-11
46,7,0,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,1,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,2,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,3,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,4,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,20,17,20,0,0,0,0,0,0,0
46,7,5,0,0,0,0,0,2,1,0.0132,0.0278,0,0,3,0,18,0,174,150,192,0,0,3,0,0,0,0
46,7,6,17,37,1,0,4,0,1,0.0132,0.0291,0,0,1,0,21,0,189,185,210,0,1,0,0,0,0,0
46,7,7,36,20,0,0,5,0,1,0.0106,0.0291,2,0,1,2,6,5,128,136,134,0,0,0,0,1,0,0
46,7,8,19,35,0,0,5,0,1,0.0106,0.0318,0,0,1,0,5,0,149,142,154,0,0,0,0,1,0,0
46,7,9,30,30,0,0,5,0,0,0.0079,0.0318,2,0,0,2,5,0,145,150,150,0,0,0,0,0,0,0
46,7,10,40,28,0,0,5,0,1,0.0079,0.0331,0,0,1,0,2,4,188,173,190,0,0,1,0,0,0,0
46,7,11,26,25,0,0,4,0,0,0.0079,0.0331,0,0,0,0,10,7,148,157,158,0,0,0,0,0,0,0
46,7,12,26,26,0,0,4,0,0,0.0079,0.0331,0,0,0,0,5,0,219,214,224,0,0,0,0,0,0,0
46,7,13,17,22,0,0,5,2,1,0.0053,0.0344,3,0,3,3,7,0,275,267,282,0,1,1,0,1,0,0
