seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
51,7,6,11,D0,True,3,0,3,0,0,0,0,0,9,"['B766', 'B535', 'B233', 'B666', 'B206', 'B435', 'B722', 'B411', 'B1']",4.5,S41,2.23,12,0,12,0.0,,-2.194564,-14.289123,-16.483687,True,True,10,S63,True,0,0.4889,load_queue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,33,S41,False,12,0,12,12,0,0,1,0,0,"['B7', 'B264', 'B324', 'B719', 'B766', 'B535', 'B233', 'B666', 'B206', 'B435', 'B722', 'B411', 'B1']",6.5,S52,4.13,0,1,1,0.0,,-1.432211,-13.792827,-15.225039,True,True,44,S52,False,37,2.4463,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,44,S52,False,0,1,1,0,12,0,1,0,0,"['B732', 'B493', 'B259', 'B764', 'B619', 'B508', 'B755', 'B401', 'B110', 'B267', 'B329', 'B723', 'B17']",6.5,S26,7.0,12,2,14,0.0,,-1.707649,-13.735962,-15.443611,True,True,66,S39,True,58,3.3001,pickup+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,57,S26,False,12,2,14,12,0,0,0,0,0,"['B732', 'B493', 'B259', 'B764', 'B619', 'B508', 'B755', 'B401', 'B110', 'B267', 'B329', 'B723']",6.0,S63,7.98,0,2,2,0.0,,-1.019484,-13.724206,-14.743689,False,False,22,S45,True,14,1.3104,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,11,S63,False,0,2,2,0,13,0,0,0,0,"['B381', 'B668', 'B765', 'B615', 'B151', 'B192', 'B556', 'B424', 'B371', 'B352', 'B231', 'B48', 'B243']",6.5,S18,3.17,13,2,15,0.0,,-1.096771,-13.739019,-14.83579,False,False,33,S18,False,24,2.1458,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,21,S18,False,13,2,15,0,5,0,0,0,0,"['B363', 'B51', 'B515', 'B318', 'B481']",2.5,S12,7.88,18,2,20,0.0,,-1.018577,-13.734051,-14.752627,False,False,22,S40,True,18,1.263,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,31,S12,False,18,2,20,18,0,0,1,0,0,"['B662', 'B381', 'B668', 'B765', 'B615', 'B151', 'B192', 'B556', 'B424', 'B371', 'B352', 'B231', 'B48', 'B243', 'B363', 'B51', 'B515', 'B318', 'B481']",9.5,S37,6.56,0,3,3,0.0,,-0.959715,-13.448339,-14.408054,True,True,55,S34,True,23,3.401,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,47,S37,False,0,3,3,0,17,0,0,0,0,"['B702', 'B117', 'B103', 'B339', 'B79', 'B463', 'B574', 'B11', 'B427', 'B377', 'B73', 'B727', 'B136', 'B696', 'B598', 'B194', 'B301']",8.5,S65,5.89,17,3,20,0.0,,-0.939491,-13.367485,-14.306976,False,False,22,S40,True,16,1.3467,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,1,S65,False,17,3,20,13,0,0,0,0,0,"['B702', 'B117', 'B103', 'B339', 'B79', 'B463', 'B574', 'B11', 'B427', 'B377', 'B73', 'B727', 'B136']",6.5,S35,10.81,4,3,7,0.0,,-0.901099,-13.322948,-14.224047,False,False,33,S34,True,29,1.6782,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,19,S35,False,4,3,7,0,13,0,0,0,0,"['B299', 'B484', 'B357', 'B645', 'B87', 'B141', 'B602', 'B691', 'B170', 'B530', 'B143', 'B740', 'B468']",6.5,S34,4.29,17,3,20,0.0,,-0.565239,-13.362831,-13.92807,False,False,33,S23,True,11,1.9058,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,30,S34,False,17,3,20,13,0,0,0,0,0,"['B696', 'B598', 'B194', 'B301', 'B299', 'B484', 'B357', 'B645', 'B87', 'B141', 'B602', 'B691', 'B170']",6.5,S38,7.05,4,3,7,0.0,,-0.484476,-13.128396,-13.612873,False,False,33,S40,True,22,1.803,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,43,S38,False,4,3,7,0,13,0,0,0,0,"['B456', 'B91', 'B337', 'B622', 'B140', 'B595', 'B96', 'B561', 'B634', 'B346', 'B559', 'B656', 'B195']",6.5,S62,4.41,17,3,20,0.0,,-0.664594,-13.13366,-13.798254,False,False,22,S23,True,17,1.2449,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,54,S62,False,17,3,20,12,0,0,0,0,0,"['B530', 'B143', 'B740', 'B468', 'B456', 'B91', 'B337', 'B622', 'B140', 'B595', 'B96', 'B561']",6.0,S52,1.55,5,3,8,0.0,,-0.975491,-13.152261,-14.127752,False,False,33,S40,True,14,1.8498,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,2,S52,False,5,3,8,0,7,0,0,0,0,"['B417', 'B308', 'B370', 'B324', 'B495', 'B674', 'B25']",3.5,S44,0.83,12,3,15,0.0,,-0.627626,-13.299567,-13.927192,False,False,33,S44,False,11,1.8762,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,6,S44,False,12,3,15,0,5,0,0,0,0,"['B199', 'B631', 'B175', 'B281', 'B465']",2.5,S19,4.96,17,3,20,0.0,,-0.701316,-13.333015,-14.034331,False,False,22,S23,True,15,1.5219,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,13,S19,False,17,3,20,9,0,0,1,0,0,"['B4', 'B634', 'B346', 'B559', 'B656', 'B195', 'B417', 'B308', 'B370', 'B324']",5.0,S39,8.33,8,4,12,0.0,,-0.487093,-13.141719,-13.628812,True,True,55,S26,True,22,3.0883,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,27,S39,False,8,4,12,0,8,0,0,0,0,"['B756', 'B147', 'B316', 'B155', 'B522', 'B560', 'B762', 'B368']",4.0,S60,2.89,16,4,20,0.0,,-0.213486,-13.239446,-13.452932,False,False,22,S60,False,11,1.1752,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,34,S60,False,16,4,20,15,0,0,0,0,0,"['B495', 'B674', 'B25', 'B199', 'B631', 'B175', 'B281', 'B465', 'B756', 'B147', 'B316', 'B155', 'B522', 'B560', 'B762']",7.5,S37,2.84,1,4,5,0.0,,-0.34872,-13.749076,-14.097796,False,False,33,S15,True,26,2.0321,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
