seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
47,6,5,5,0,0,0,0,0,1,34,34,27,0,0,0,0,0,0,0.0134,0.032
47,7,5,5,301,315,2,14,111,99,3062,2951,2954,13,11,24,11,14,25,0.016,0.028
47,8,5,5,335,350,2,15,139,71,3018,2879,2878,11,8,19,18,3,21,0.0068,0.019
47,9,5,5,352,372,2,13,68,30,3170,3102,3102,7,14,21,8,29,37,0.0053,0.0199
47,10,5,5,362,367,2,8,134,33,3432,3298,3300,14,5,19,5,0,5,0.0174,0.0161
47,11,5,5,382,402,2,8,151,42,3062,2911,2912,16,8,24,14,21,35,0.0198,0.0145
47,12,5,5,357,361,2,11,39,11,2188,2149,2149,5,8,13,14,8,22,0.0079,0.0106
47,13,5,5,347,355,2,11,15,14,1730,1715,1711,1,7,8,4,0,4,0.004,0.0054
47,14,5,5,380,391,2,5,115,50,3212,3097,3097,13,8,21,6,11,17,0.0133,0.0093
47,15,5,5,371,382,2,11,104,34,2970,2866,2870,12,15,27,11,16,27,0.0132,0.0146
47,16,5,5,357,370,2,10,191,59,3240,3049,3047,9,10,19,10,0,10,0.0121,0.0134
47,17,5,5,348,352,2,12,175,88,3364,3189,3190,19,14,33,11,21,32,0.0225,0.0159
47,18,5,5,339,354,2,17,104,43,3024,2920,2922,9,18,27,17,0,17,0.0122,0.0176
47,19,5,5,322,332,2,15,19,21,2198,2179,2180,7,13,20,9,27,36,0.0093,0.0147
47,20,5,5,328,336,2,8,3,6,1678,1675,1665,7,4,11,8,8,16,0.008,0.0093
47,21,5,5,370,388,2,10,102,61,3050,2948,2952,10,11,21,7,17,24,0.0119,0.0106
47,22,5,5,355,374,2,7,96,42,3112,3016,3011,4,9,13,6,10,16,0.0092,0.0132
47,23,5,5,317,322,2,15,126,61,3292,3166,3173,14,9,23,12,0,12,0.0108,0.0054
47,24,5,5,374,378,2,7,113,58,3418,3305,3305,9,7,16,13,7,20,0.0054,0.0054
47,25,5,5,367,379,2,12,115,58,3076,2961,2961,11,16,27,12,22,34,0.004,0.0106
47,26,5,5,367,385,2,15,72,35,2476,2404,2409,9,15,24,6,0,6,0.0081,0.0108
47,27,5,5,343,355,2,8,18,3,1596,1578,1577,7,7,14,7,27,34,0.0079,0.0092
