seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
49,6,5,5,0,0,0,0,0,0,16,16,18,0,0,0,0,0,0,0.0132,0.0212
49,7,5,5,365,385,2,14,146,72,3154,3008,3006,11,13,24,12,1,13,0.0121,0.0202
49,8,5,5,328,333,2,15,123,79,3152,3029,3027,6,16,22,10,23,33,0.0067,0.0213
49,9,5,5,359,371,2,13,148,46,3244,3096,3085,11,9,20,9,0,9,0.0095,0.0163
49,10,5,5,399,411,2,12,117,32,3392,3275,3286,17,16,33,10,25,35,0.0186,0.02
49,11,5,5,320,330,2,9,111,37,3074,2963,2960,15,10,25,16,10,26,0.0173,0.0213
49,12,5,5,341,353,2,12,20,14,2278,2258,2265,9,6,15,15,5,20,0.0094,0.0134
49,13,5,5,322,329,2,7,18,22,1652,1634,1630,6,2,8,8,9,17,0.0067,0.0067
49,14,5,5,362,380,2,4,157,37,3080,2923,2922,6,6,12,3,12,15,0.0106,0.0093
49,15,5,5,401,408,2,4,90,58,3026,2936,2941,13,8,21,14,11,25,0.0092,0.0144
49,16,5,5,382,382,2,7,118,42,3116,2998,2995,9,10,19,10,0,10,0.0079,0.0185
49,17,5,5,369,385,2,9,104,55,3386,3282,3282,22,8,30,15,11,26,0.0172,0.0172
49,18,5,5,347,355,2,15,134,17,3094,2960,2958,4,19,23,7,0,7,0.0135,0.0229
49,19,5,5,321,324,2,14,26,24,2326,2300,2302,7,13,20,12,9,21,0.0068,0.0217
49,20,5,5,294,314,2,12,24,19,1640,1616,1615,7,3,10,8,15,23,0.0054,0.0095
49,21,5,5,357,357,2,5,94,66,3014,2920,2918,14,6,20,13,19,32,0.0066,0.0106
49,22,5,5,369,383,2,14,122,59,3120,2998,2997,12,12,24,8,7,15,0.012,0.008
49,23,5,5,381,398,2,6,173,34,3168,2995,2997,21,8,29,15,19,34,0.0197,0.0105
49,24,5,5,357,372,2,9,121,56,3292,3171,3171,8,13,21,11,0,11,0.016,0.016
49,25,5,5,361,361,2,14,141,56,3060,2919,2922,11,13,24,13,15,28,0.0133,0.0146
49,26,5,5,375,381,2,11,23,13,2228,2205,2205,8,8,16,10,11,21,0.0106,0.0106
49,27,5,5,297,317,2,10,4,11,1624,1620,1620,8,5,13,10,14,24,0.0079,0.004
