seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
42,6,23,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,-22,-28,-19,-26,-5,-16,-11
42,7,0,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,1,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,2,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,3,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,4,0,0,0,0,0,1,0,0.0171,0.0303,0,0,1,0,1,0,33,21,34,0,0,0,1,0,0,0
42,7,5,0,0,0,0,0,0,1,0.0171,0.0316,0,0,1,0,24,6,198,176,222,0,0,0,0,0,0,1
42,7,6,18,35,1,0,4,0,1,0.0171,0.0329,0,0,1,0,8,0,170,171,178,0,0,0,1,0,0,0
42,7,7,45,30,0,0,6,0,1,0.0171,0.0342,0,0,1,0,4,3,132,135,136,0,0,0,0,0,0,1
42,7,8,17,27,0,0,4,1,1,0.0171,0.0355,0,0,2,0,10,2,124,125,134,1,0,1,0,0,0,0
42,7,9,35,43,0,0,7,0,0,0.0184,0.0355,0,0,0,0,7,0,173,169,180,0,0,0,0,0,0,0
42,7,10,30,30,0,0,7,0,2,0.0184,0.0382,0,0,2,0,1,0,187,188,188,1,0,1,0,0,0,0
42,7,11,28,28,0,0,8,0,1,0.0184,0.0395,0,0,1,0,7,0,197,189,204,0,0,0,0,0,1,0
42,7,12,20,20,0,0,8,0,1,0.0184,0.0408,0,0,1,0,1,0,239,229,240,0,0,0,0,0,1,0
42,7,13,18,18,0,0,5,0,3,0.0171,0.0447,1,0,3,1,4,1,274,277,278,0,1,0,2,0,0,0
42,7,14,30,24,0,0,8,1,0,0.0171,0.0447,1,0,1,1,40,14,380,358,420,1,0,0,0,0,0,0
42,7,15,10,11,0,0,4,0,2,0.0171,0.0461,0,0,2,0,15,22,249,281,264,0,1,0,0,0,0,1
